,detector,n_features,step_size,kp_sizes,codebook_size,n_neighbors,distance,train_accuracy,val_accuracy,std_train_accuracy,std_val_accuracy,train_f1_weighted,val_f1_weighted,std_train_f1_weighted,std_val_f1_weighted
0,dense_sift,2000,10,10,1024,9,manhattan,0.807473538134263,0.7405833032816445,0.0039156158279703744,0.03332820986762337,0.8081814842318635,0.7379029578074245,0.0039054103667628456,0.03439818719690204
1,dense_sift,2000,10,20,1024,9,manhattan,0.8302577031174404,0.7868260908763072,0.005675272253964275,0.04484898148723934,0.8303008009055104,0.7851865489498133,0.005584644421644659,0.04634573428352005
2,dense_sift,2000,10,40,1024,5,manhattan,0.826156621744895,0.7687454922466642,0.00718356337915325,0.043256371826298844,0.826518431584123,0.7678657901358554,0.007232227770971231,0.043629797658613745
3,dense_sift,2000,10,100,1024,9,manhattan,0.7710944742158388,0.7283672917417958,0.006588123547718525,0.04957112848224235,0.771093487747996,0.7259603551233584,0.00661411741416913,0.05177911354250475
4,dense_sift,2000,10,200,1024,9,manhattan,0.7328923022377173,0.6810448972232239,0.007521456294718584,0.048706659858805505,0.7329966849990577,0.6794473390442463,0.007597624782775257,0.04941198603065533
5,dense_sift,2000,20,10,1024,9,manhattan,0.8399025730609713,0.7841777857915615,0.0046342569890840644,0.03730549882562416,0.8397497248261326,0.7820035260905498,0.004644346346832828,0.03867827186108562
6,dense_sift,2000,20,20,1024,9,manhattan,0.8406622668198118,0.7868193292463037,0.005942668148113728,0.041804347403093196,0.8408302243817382,0.7848096316695995,0.006037095791643964,0.042799303971798056
7,dense_sift,2000,20,40,1024,5,manhattan,0.8329158464657805,0.766620086548864,0.004189240452680108,0.04178540947092324,0.8330050718703154,0.764390552282916,0.004279881180273935,0.042723354371479935
8,dense_sift,2000,20,100,1024,9,manhattan,0.7737526175641788,0.7379304904435628,0.0043561633572107355,0.04702372295153473,0.773559489007882,0.7357874436754417,0.004274982803239969,0.048345011809003885
9,dense_sift,2000,20,200,1024,9,manhattan,0.7300828756827826,0.6783785611251352,0.006402037587742349,0.039023728088067665,0.7298316660071652,0.6769393244129782,0.006606043269281592,0.039856371844032845
10,dense_sift,2000,40,10,1024,9,manhattan,0.8558518486373894,0.7995988099531194,0.002920547467045768,0.038755612932278846,0.855503732165686,0.796984373316828,0.002982988239452596,0.041078662075487105
11,dense_sift,2000,40,20,1024,9,manhattan,0.8441563225947032,0.7932068157230436,0.0047200260882812916,0.040689537303382255,0.8440769528552885,0.7914844597820461,0.004814663815799531,0.041348261156862805
12,dense_sift,2000,40,40,1024,9,manhattan,0.810663457880761,0.768233862243058,0.009519998318415603,0.0433342215190319,0.8105355431918833,0.7656874428864147,0.0096189723355245,0.04415254226228659
13,dense_sift,2000,40,100,1024,9,manhattan,0.7685121340488317,0.7315452578434909,0.004649276339748995,0.036030430397308806,0.7683268805571027,0.7285701574784784,0.004788004882892922,0.038010446614523526
14,dense_sift,2000,40,200,1024,5,manhattan,0.7606137380109097,0.6751825640100974,0.007437932668259666,0.04834994116713549,0.760916279931678,0.6726872327756547,0.007531430459738986,0.05014432296088036
