,detector,n_features,step_size,codebook_size,n_neighbors,distance,method,reduced_dimensions,regular_accuracy,dim_red_accuracy
0,dense_sift,600,10,160,21,manhattan,pca,5,0.7843866171003717,0.6716232961586122
1,dense_sift,600,10,160,21,manhattan,pca,25,0.7843866171003717,0.7558859975216853
2,dense_sift,600,10,160,21,manhattan,pca,45,0.7843866171003717,0.7546468401486989
3,dense_sift,600,10,160,21,manhattan,pca,65,0.7843866171003717,0.7372986369268897
4,dense_sift,600,10,160,21,manhattan,pca,85,0.7843866171003717,0.734820322180917
5,dense_sift,600,10,160,21,manhattan,pca,105,0.7843866171003717,0.7286245353159851
6,dense_sift,600,10,160,21,manhattan,pca,125,0.7843866171003717,0.7273853779429987
7,dense_sift,600,10,160,21,manhattan,pca,145,0.7843866171003717,0.7335811648079306
8,dense_sift,600,10,160,21,manhattan,lda,4,0.7843866171003717,0.7905824039653035
9,dense_sift,600,10,160,21,manhattan,lda,5,0.7843866171003717,0.7930607187112764
10,dense_sift,600,10,160,21,manhattan,lda,6,0.7843866171003717,0.8017348203221809
11,dense_sift,600,10,160,21,manhattan,lda,7,0.7843866171003717,0.8190830235439901
